date,open,close,high,low,volume,change,pct_change,amplitude_pct,turnover,turnover_rate
2024-01-02,78.864,77.255,80.251,77.197,147911.0,,,,,
2024-01-03,76.177,73.217,76.809,73.145,221087.0,-4.037999999999997,-5.226846158824672,4.7427350980519085,,
2024-01-04,73.008,72.505,73.705,71.327,166507.0,-0.7120000000000033,-0.9724517530081855,3.2478795908054146,,
2024-01-05,72.232,69.653,72.865,69.057,175521.0,-2.8519999999999897,-3.9335218260809435,5.252051582649463,,
2024-01-08,69.488,68.769,70.429,68.065,132630.0,-0.8840000000000003,-1.269148493245087,3.3939672375920695,,
2024-01-09,70.91,70.58,72.168,69.991,200011.0,1.8109999999999928,2.633454027250637,3.1656705783129127,,
2024-01-10,70.587,69.632,71.579,68.41,138602.0,-0.9479999999999933,-1.343156701615178,4.489940493057519,,
2024-01-11,69.632,72.067,72.85,69.567,192897.0,2.434999999999988,3.49695542279409,4.714786305147061,,
2024-01-12,71.521,70.034,71.773,69.315,138420.0,-2.032999999999987,-2.8209860268916254,3.4107150290701687,,
2024-01-15,69.172,70.982,72.218,69.172,126476.0,0.9479999999999933,1.3536282377131004,4.349316046491713,,
2024-01-16,70.271,69.84,70.537,68.482,169026.0,-1.141999999999996,-1.6088585838663239,2.895100166239338,,
2024-01-17,70.106,68.927,71.672,68.927,191932.0,-0.9129999999999967,-1.3072737686139702,3.9304123711340067,,
2024-01-18,67.505,76.694,76.78,67.354,370998.0,7.766999999999996,11.26844342565323,13.6753376760921,,
2024-01-19,78.469,77.535,79.389,77.097,318973.0,0.840999999999994,1.0965655722742218,2.988499752262239,,
2024-01-22,81.127,77.966,81.486,77.528,327150.0,0.4309999999999974,0.5558779905848965,5.104791384536014,,
2024-01-23,78.246,79.69,82.033,77.42,297570.0,1.7240000000000038,2.2112202755047106,5.916681630454301,,
2024-01-24,79.439,79.475,79.82,76.084,269552.0,-0.2150000000000034,-0.26979545739741484,4.688166645752278,,
2024-01-25,78.598,82.816,83.426,77.837,297010.0,3.341000000000008,4.203837684806544,7.03240012582573,,
2024-01-26,82.557,81.099,82.564,79.547,232150.0,-1.7169999999999987,-2.0732708655332277,3.6430158423492993,,
2024-01-29,79.439,72.376,79.439,67.261,426559.0,-8.722999999999999,-10.75598959296662,15.016214749873608,,
2024-01-30,71.787,70.494,73.799,70.156,213968.0,-1.882000000000005,-2.600309494860187,5.033436498286726,,
2024-01-31,69.646,71.643,75.3,68.733,282995.0,1.149000000000001,1.6299259511447728,9.315686441399258,,
2024-02-01,72.355,77.571,81.127,70.745,351116.0,5.927999999999997,8.274360370168754,14.491297126027652,,
2024-02-02,78.167,76.709,79.604,75.164,279578.0,-0.8619999999999948,-1.1112400252671684,5.723788529218391,,
2024-02-05,75.379,78.253,82.155,75.286,365547.0,1.543999999999997,2.0128016269277405,8.954620709434355,,
2024-02-06,77.291,87.507,87.507,76.673,354969.0,9.254000000000005,11.82574469988371,13.844836619682315,,
2024-02-07,86.228,87.313,88.305,85.144,270580.0,-0.19400000000000261,-0.2216965499902912,3.6122824459757523,,
2024-02-08,89.39,89.031,96.215,87.45,355918.0,1.7180000000000035,1.96763368570545,10.03859677253101,,
2024-02-19,96.934,107.28,107.28,93.959,415891.0,18.248999999999995,20.497354853927273,14.962204176073499,,
2024-02-20,107.711,112.381,114.889,106.274,448372.0,5.100999999999999,4.7548471290081995,8.030387770320651,,
2024-02-21,106.993,105.527,108.451,103.616,451416.0,-6.853999999999999,-6.098895720806896,4.302328685453941,,
2024-02-22,111.339,108.796,112.482,105.175,419515.0,3.2690000000000055,3.097785400892672,6.92429425644622,,
2024-02-23,112.74,103.925,113.459,103.436,490341.0,-4.871000000000009,-4.477186661274324,9.212654877017533,,
2024-02-26,99.829,104.859,106.569,99.829,332927.0,0.9339999999999975,0.89872504209767,6.485446235265825,,
2024-02-27,103.731,114.134,116.117,102.696,451323.0,9.275000000000006,8.845211188357705,12.799092114172373,,
2024-02-28,113.459,105.419,114.824,105.419,401106.0,-8.715000000000003,-7.635761473355885,8.24031401685738,,
2024-02-29,107.711,109.263,111.878,106.274,368094.0,3.8440000000000083,3.646401502575447,5.315929765981464,,
2024-03-01,109.888,113.531,115.27,109.888,378207.0,4.268000000000001,3.906171348031817,4.92572966145904,,
2024-03-04,117.13,116.807,120.399,112.819,405035.0,3.2759999999999962,2.8855554870475864,6.676590534743812,,
2024-03-05,115.111,119.322,127.038,114.623,469234.0,2.5150000000000006,2.1531243846687254,10.628643831277227,,
2024-03-06,117.77,117.971,120.069,114.781,304080.0,-1.350999999999999,-1.132230435292736,4.431705804461873,,
2024-03-07,119.925,115.715,123.352,115.614,303689.0,-2.2560000000000002,-1.9123343872646692,6.559239135041663,,
2024-03-08,119.113,123.511,124.904,116.081,364538.0,7.795999999999992,6.737242362701457,7.624767748347226,,
2024-03-11,117.791,120.356,120.622,115.816,341617.0,-3.155000000000001,-2.5544283505112952,3.891151395422268,,
2024-03-12,119.782,116.225,121.068,112.575,361905.0,-4.131,-3.4323174582073235,7.056565522283888,,
2024-03-13,120.938,116.333,121.276,116.254,317684.0,0.10800000000000409,0.09292320929232822,4.320929232092916,,
2024-03-14,114.177,119.588,121.362,114.177,311017.0,3.2549999999999955,2.7980022865395027,6.176235461992718,,
2024-03-15,117.77,125.213,127.397,116.757,389742.0,5.625,4.703649195571469,8.897213767267619,,
2024-03-18,126.212,127.103,131.478,125.379,329936.0,1.8900000000000006,1.5094279347991124,4.870899986423138,,
2024-03-19,122.303,122.663,124.703,120.967,332772.0,-4.439999999999998,-3.493229900159711,2.939348402476735,,
2024-03-20,121.362,119.178,123.992,117.051,321580.0,-3.4849999999999994,-2.8411175334045358,5.658593055770691,,
2024-03-21,119.379,118.258,121.836,117.288,253273.0,-0.9200000000000017,-0.7719545553709573,3.816140562855562,,
2024-03-22,118.488,118.258,120.299,117.31,226153.0,0.0,0.0,2.5275245649343,,
2024-03-25,118.46,117.418,121.276,115.614,223357.0,-0.8399999999999892,-0.7103113531431227,4.787836763686171,,
2024-03-26,116.699,111.663,121.923,105.556,465246.0,-5.75500000000001,-4.901292817114933,13.939089407075581,,
2024-03-27,113.301,108.573,114.156,107.539,290856.0,-3.0900000000000034,-2.7672550441954824,5.925866222472981,,
2024-03-28,109.155,108.925,112.654,106.368,263309.0,0.35200000000000387,0.324205833862945,5.78965304449541,,
2024-03-29,107.783,110.269,110.585,106.885,167220.0,1.3440000000000083,1.2338765205416546,3.396832683038778,,
2024-04-01,111.153,114.896,115.528,109.701,217931.0,4.626999999999995,4.196102259021117,5.28435008932702,,
2024-04-02,114.177,114.573,117.051,112.762,194556.0,-0.3230000000000075,-0.2811237989138071,3.732941094555077,,
2024-04-03,112.022,109.938,113.136,109.601,166304.0,-4.634999999999991,-4.045455735644521,3.0853691532909124,,
2024-04-08,109.579,116.017,119.422,109.579,259243.0,6.0789999999999935,5.529480252505947,8.953228183157783,,
2024-04-09,115.614,116.261,117.037,112.906,170383.0,0.24399999999999977,0.21031400570605818,3.5606850720153087,,
2024-04-10,114.371,112.381,116.247,110.585,168491.0,-3.8799999999999955,-3.337318619313434,4.87007680993627,,
2024-04-11,113.459,112.848,116.031,112.59,148863.0,0.46699999999999875,0.4155506713768409,3.061905482243442,,
2024-04-12,115.614,119.444,123.015,115.255,307351.0,6.596000000000004,5.845030483482216,6.876506451155541,,
2024-04-15,118.337,119.566,121.75,117.454,179396.0,0.12199999999999989,0.10213991493921437,3.5966645457285478,,
2024-04-16,117.985,117.31,121.721,114.932,187935.0,-2.2560000000000002,-1.8868240135155534,5.67803556194905,,
2024-04-17,118.725,123.237,124.272,117.051,214536.0,5.9269999999999925,5.0524251981928225,6.155485465859691,,
2024-04-18,120.399,122.354,124.452,118.632,164135.0,-0.8829999999999956,-0.7165055949106103,4.72260765841427,,
2024-04-19,121.47,120.428,123.69,115.543,214528.0,-1.926000000000002,-1.5741209931837141,6.658548147179488,,
2024-04-22,109.148,111.562,112.733,106.188,349183.0,-8.866,-7.362075264888568,5.434782608695653,,
2024-04-23,112.0,110.951,114.077,108.767,240667.0,-0.6110000000000042,-0.5476775246051613,4.7596851974686745,,
