stock,entry_window,exit_window,atr_window,stop_atr_multiplier,sample_start,sample_end,buy_count,sell_count,stop_exit_count,channel_exit_count,benchmark_cumulative_return,strategy_cumulative_return,max_drawdown,sharpe_ratio,annualized_return,latest_atr
中国巨石（600176）,20,10,20,2.0,2024-01-02,2026-07-03,15,14,13,3,6.961819202695117,1.28694449894842,-0.22073633306225593,1.180297767295594,0.4129821617082865,5.391
中国巨石（600176）,30,10,20,2.0,2024-01-02,2026-07-03,14,13,12,2,6.961819202695117,1.0406756358078493,-0.18057921635434426,1.0535456581654208,0.34727975047602855,5.391
中国巨石（600176）,55,20,20,2.0,2024-01-02,2026-07-03,12,11,11,1,6.961819202695117,0.8321700289089198,-0.21898207281515147,0.9437895530614417,0.28794152179984955,5.391
中际旭创（300308）,20,10,20,2.0,2024-01-02,2026-07-03,11,11,8,4,13.445666947123154,6.778926642125449,-0.26858376626436564,1.9894830450012562,1.3568103716148188,80.473
中际旭创（300308）,30,10,20,2.0,2024-01-02,2026-07-03,7,7,5,2,13.445666947123154,7.076591380410644,-0.20078195821270872,2.2180507311086837,1.3940879797779306,80.473
中际旭创（300308）,55,20,20,2.0,2024-01-02,2026-07-03,6,6,6,0,13.445666947123154,3.9875507874497815,-0.20078195821270894,1.8528974927480983,0.9572865286765895,80.473
