date,open,close,high,low,volume,change,pct_change,amplitude_pct,turnover,turnover_rate,true_range,atr,entry_high,entry_low,exit_low,position,buy_signal,sell_signal,sell_reason,stop_line,exec_position,daily_return,strategy_return,benchmark_wealth,strategy_wealth,benchmark_cumulative_return,strategy_cumulative_return,rolling_drawdown
2024-01-02,8.975,8.905,9.055,8.905,167624.0,,,,,,0.15000000000000036,,,,,0.0,False,False,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2024-01-03,8.895,8.875,8.925,8.825,153980.0,-0.0299999999999993,-0.3368893879842738,1.1229646266142777,,,0.10000000000000142,,,,,0.0,False,False,,,0.0,-0.003368893879842738,-0.0,0.9966311061201573,1.0,-0.003368893879842738,0.0,0.0
2024-01-04,8.865,8.705,8.865,8.585,226012.0,-0.1699999999999999,-1.9154929577464783,3.1549295774647814,,,0.28999999999999915,,,,,0.0,False,False,,,0.0,-0.019154929577464785,-0.0,0.9775407074677148,1.0,-0.02245929253228518,0.0,0.0
2024-01-05,8.695,8.585,8.875,8.565,211830.0,-0.1199999999999992,-1.378518093049963,3.561171740379098,,,0.3100000000000005,,,,,0.0,False,False,,,0.0,-0.01378518093049963,-0.0,0.9640651319483438,1.0,-0.035934868051656244,0.0,0.0
2024-01-08,8.575,8.425,8.595,8.415,165552.0,-0.1600000000000001,-1.863715783343045,2.0966802562609375,,,0.1800000000000015,,,,,0.0,False,False,,,0.0,-0.01863715783343045,-0.0,0.9460976979225155,1.0,-0.053902302077484476,0.0,0.0
2024-01-09,8.415,8.475,8.515,8.275,181671.0,0.0499999999999989,0.5934718100890191,2.848664688427302,,,0.2400000000000002,,,,,0.0,False,False,,,0.0,0.005934718100890191,0.0,0.9517125210555868,1.0,-0.04828747894441321,0.0,0.0
2024-01-10,8.415,8.455,8.575,8.375,138048.0,-0.0199999999999995,-0.2359882005899649,2.3598820058996965,,,0.1999999999999993,,,,,0.0,False,False,,,0.0,-0.0023598820058996495,-0.0,0.9494665918023584,1.0,-0.05053340819764163,0.0,0.0
2024-01-11,8.445,8.525,8.575,8.325,140301.0,0.0700000000000002,0.8279124778237668,2.956830277942046,,,0.25,,,,,0.0,False,False,,,0.0,0.008279124778237668,0.0,0.9573273441886582,1.0,-0.04267265581134183,0.0,0.0
2024-01-12,8.515,8.535,8.695,8.475,137510.0,0.0099999999999997,0.117302052785928,2.58064516129033,,,0.22000000000000064,,,,,0.0,False,False,,,0.0,0.001173020527859281,0.0,0.9584503088152725,1.0,-0.04154969118472751,0.0,0.0
2024-01-15,8.525,8.535,8.655,8.415,143173.0,0.0,0.0,2.8119507908611627,,,0.2400000000000002,,,,,0.0,False,False,,,0.0,0.0,0.0,0.9584503088152725,1.0,-0.04154969118472751,0.0,0.0
2024-01-16,8.525,8.455,8.575,8.355,173824.0,-0.08,-0.9373169302870576,2.5776215582893833,,,0.21999999999999886,,,,8.275,0.0,False,False,,,0.0,-0.009373169302870576,-0.0,0.9494665918023584,1.0,-0.05053340819764163,0.0,0.0
2024-01-17,8.465,8.085,8.465,8.075,284616.0,-0.3699999999999992,-4.376108811354218,4.6126552335895985,,,0.39000000000000057,,,,8.275,0.0,False,False,,,0.0,-0.04376108811354218,-0.0,0.9079169006176308,1.0,-0.09208309938236925,0.0,0.0
2024-01-18,8.025,8.125,8.185,7.855,304636.0,0.0399999999999991,0.4947433518861954,4.081632653061225,,,0.33000000000000007,,,,8.075,0.0,False,False,,,0.0,0.0049474335188619545,0.0,0.9124087591240877,1.0,-0.0875912408759123,0.0,0.0
2024-01-19,8.105,8.125,8.285,8.035,242629.0,0.0,0.0,3.076923076923077,,,0.25,,,,7.855,0.0,False,False,,,0.0,0.0,0.0,0.9124087591240877,1.0,-0.0875912408759123,0.0,0.0
2024-01-22,8.095,7.845,8.185,7.775,289850.0,-0.2800000000000002,-3.4461538461538543,5.046153846153848,,,0.41000000000000014,,,,7.855,0.0,False,False,,,0.0,-0.03446153846153854,-0.0,0.8809657495788883,1.0,-0.11903425042111171,0.0,0.0
2024-01-23,7.845,7.875,7.935,7.715,221823.0,0.0300000000000002,0.3824091778202643,2.80433397068196,,,0.21999999999999975,,,,7.775,0.0,False,False,,,0.0,0.003824091778202643,0.0,0.884334643458731,1.0,-0.11566535654126897,0.0,0.0
2024-01-24,7.925,8.155,8.205,7.775,295154.0,0.2799999999999993,3.555555555555556,5.460317460317457,,,0.4299999999999997,,,,7.715,0.0,False,False,,,0.0,0.03555555555555556,0.0,0.9157776530039303,1.0,-0.08422234699606967,0.0,0.0
2024-01-25,8.135,8.665,8.705,8.105,502697.0,0.5099999999999998,6.253832004904969,7.35744941753525,,,0.5999999999999996,,,,7.715,0.0,False,False,,,0.0,0.06253832004904969,0.0,0.9730488489612577,1.0,-0.02695115103874235,0.0,0.0
2024-01-26,8.625,8.685,8.845,8.535,364552.0,0.0200000000000013,0.2308136180034781,3.5776110790536704,,,0.3100000000000005,,,,7.715,0.0,False,False,,,0.0,0.002308136180034781,0.0,0.9752947782144863,1.0,-0.02470522178551371,0.0,0.0
2024-01-29,8.575,8.725,8.965,8.575,536285.0,0.0399999999999991,0.4605641911341385,4.490500863557865,,,0.39000000000000057,0.28650000000000014,,,7.715,0.0,False,False,,,0.0,0.004605641911341385,0.0,0.9797866367209433,1.0,-0.02021336327905665,0.0,0.0
2024-01-30,8.635,8.305,8.655,8.295,372046.0,-0.4199999999999999,-4.813753581661895,4.126074498567329,,,0.4299999999999997,0.3005000000000001,,,7.715,0.0,False,False,,,0.0,-0.04813753581661895,-0.0,0.9326221224031443,1.0,-0.06737787759685565,0.0,0.0
2024-01-31,8.215,8.305,8.595,8.155,417898.0,0.0,0.0,5.298013245033128,,,0.4400000000000013,0.3175000000000001,,,7.715,0.0,False,False,,,0.0,0.0,0.0,0.9326221224031443,1.0,-0.06737787759685565,0.0,0.0
2024-02-01,8.305,8.405,8.655,8.265,353792.0,0.0999999999999996,1.2040939193256994,4.695966285370245,,,0.3899999999999988,0.3225000000000001,,,7.715,0.0,False,False,,,0.0,0.012040939193256994,0.0,0.9438517686692869,1.0,-0.056148231330713116,0.0,0.0
2024-02-02,8.405,8.155,8.505,7.895,467295.0,-0.25,-2.974419988102317,7.257584770969676,,,0.6100000000000012,0.33750000000000013,,,7.715,0.0,False,False,,,0.0,-0.02974419988102317,-0.0,0.9157776530039303,1.0,-0.08422234699606967,0.0,0.0
2024-02-05,8.105,7.855,8.105,7.625,415405.0,-0.2999999999999989,-3.678724708767611,5.88595953402821,,,0.5299999999999994,0.35500000000000004,,,7.715,0.0,False,False,,,0.0,-0.03678724708767611,-0.0,0.8820887142055026,1.0,-0.11791128579449739,0.0,0.0
2024-02-06,7.855,8.505,8.535,7.765,432507.0,0.6500000000000004,8.27498408656906,9.802673456397205,,,0.7700000000000005,0.38150000000000006,,,7.625,0.0,False,False,,,0.0,0.0827498408656906,0.0,0.9550814149354295,1.0,-0.04491858506457047,0.0,0.0
2024-02-07,8.535,8.825,8.935,8.465,528622.0,0.3199999999999985,3.7624926513815327,5.526161081716644,,,0.47000000000000064,0.39500000000000013,,,7.625,0.0,False,False,,,0.0,0.03762492651381533,0.0,0.9910162829870859,1.0,-0.008983717012914116,0.0,0.0
2024-02-08,8.875,8.865,8.955,8.635,447995.0,0.0400000000000009,0.4532577903682888,3.626062322946179,,,0.3200000000000003,0.39850000000000013,,,7.625,0.0,False,False,,,0.0,0.004532577903682888,0.0,0.995508141493543,1.0,-0.004491858506456947,0.0,0.0
2024-02-19,8.955,8.975,9.075,8.815,342239.0,0.1099999999999994,1.2408347433727984,2.932882120699377,,,0.2599999999999998,0.4005000000000001,,,7.625,0.0,False,False,,,0.0,0.012408347433727984,0.0,1.0078607523862997,1.0,0.007860752386299685,0.0,0.0
2024-02-20,8.935,9.005,9.155,8.815,290067.0,0.0300000000000011,0.3342618384401197,3.788300835654595,,,0.33999999999999986,0.4055000000000001,,,7.625,0.0,False,False,,,0.0,0.003342618384401197,0.0,1.0112296462661425,1.0,0.011229646266142534,0.0,0.0
2024-02-21,8.945,9.065,9.285,8.865,329763.0,0.0599999999999987,0.666296501943342,4.664075513603552,,,0.41999999999999993,0.4155000000000001,9.155,7.625,7.625,0.0,False,False,,,0.0,0.00666296501943342,0.0,1.0179674340258278,1.0,0.01796743402582779,0.0,0.0
2024-02-22,9.025,9.125,9.155,8.995,290606.0,0.0600000000000005,0.661886376172105,1.7650303364589095,,,0.16000000000000014,0.4040000000000001,9.285,7.625,7.625,0.0,False,False,,,0.0,0.00661886376172105,0.0,1.0247052217855135,1.0,0.024705221785513487,0.0,0.0
2024-02-23,9.125,9.115,9.155,8.955,265043.0,-0.0099999999999997,-0.1095890410958921,2.1917808219178005,,,0.1999999999999993,0.3975000000000001,9.285,7.625,7.625,0.0,False,False,,,0.0,-0.0010958904109589218,-0.0,1.0235822571588993,1.0,0.023582257158899278,0.0,0.0
2024-02-26,9.085,9.025,9.195,9.015,257977.0,-0.0899999999999998,-0.9873834339001576,1.974766867800326,,,0.17999999999999972,0.394,9.285,7.625,7.625,0.0,False,False,,,0.0,-0.009873834339001575,-0.0,1.013475575519371,1.0,0.013475575519370953,0.0,0.0
2024-02-27,8.975,9.065,9.065,8.945,215800.0,0.0399999999999991,0.4432132963988922,1.3296398891966672,,,0.11999999999999922,0.3795,9.285,7.625,7.625,0.0,False,False,,,0.0,0.004432132963988922,0.0,1.017967434025828,1.0,0.01796743402582801,0.0,0.0
2024-02-28,9.055,8.985,9.345,8.985,407340.0,-0.08,-0.8825151682294585,3.971318257032556,,,0.3600000000000012,0.38650000000000007,9.285,7.625,7.765,0.0,False,False,,,0.0,-0.008825151682294585,-0.0,1.008983717012914,1.0,0.008983717012913894,0.0,0.0
2024-02-29,8.945,9.145,9.155,8.875,259410.0,0.1600000000000001,1.7807456872565464,3.1163049526989357,,,0.27999999999999936,0.37900000000000006,9.345,7.625,8.465,0.0,False,False,,,0.0,0.017807456872565464,0.0,1.0269511510387421,1.0,0.026951151038742127,0.0,0.0
2024-03-01,9.125,9.145,9.195,9.045,197986.0,0.0,0.0,1.6402405686167345,,,0.15000000000000036,0.3565000000000001,9.345,7.625,8.635,0.0,False,False,,,0.0,0.0,0.0,1.0269511510387421,1.0,0.026951151038742127,0.0,0.0
2024-03-04,9.135,9.105,9.245,9.075,187359.0,-0.0399999999999991,-0.4373974849644524,1.8589393110989605,,,0.16999999999999993,0.34950000000000003,9.345,7.625,8.815,0.0,False,False,,,0.0,-0.004373974849644524,-0.0,1.022459292532285,1.0,0.02245929253228507,0.0,0.0
2024-03-05,9.075,9.025,9.115,9.005,168658.0,-0.08,-0.878638110928065,1.2081274025260782,,,0.10999999999999943,0.3355,9.345,7.625,8.815,0.0,False,False,,,0.0,-0.00878638110928065,-0.0,1.013475575519371,1.0,0.013475575519370953,0.0,0.0
2024-03-06,9.025,9.025,9.115,8.965,132311.0,0.0,0.0,1.6620498614958488,,,0.15000000000000036,0.3215,9.345,7.625,8.865,0.0,False,False,,,0.0,0.0,0.0,1.013475575519371,1.0,0.013475575519370953,0.0,0.0
2024-03-07,9.015,8.985,9.105,8.975,178325.0,-0.0400000000000009,-0.4432132963989033,1.4404432132964076,,,0.13000000000000078,0.306,9.345,7.625,8.875,0.0,False,False,,,0.0,-0.004432132963989033,-0.0,1.008983717012914,1.0,0.008983717012913894,0.0,0.0
2024-03-08,8.975,8.895,9.035,8.875,181393.0,-0.0899999999999998,-1.001669449081799,1.7807456872565404,,,0.16000000000000014,0.2945000000000001,9.345,7.625,8.875,0.0,False,False,,,0.0,-0.01001669449081799,-0.0,0.9988770353733856,1.0,-0.001122964626614431,0.0,0.0
2024-03-11,8.885,8.995,9.005,8.865,174660.0,0.0999999999999996,1.1242270938729648,1.5739179314221536,,,0.14000000000000057,0.271,9.345,7.625,8.875,0.0,False,False,,,0.0,0.011242270938729648,0.0,1.010106681639528,1.0,0.010106681639528103,0.0,0.0
2024-03-12,9.025,9.445,9.585,9.005,557024.0,0.450000000000001,5.002779321845474,6.448026681489718,,,0.5900000000000016,0.27400000000000013,9.345,7.625,8.865,1.0,True,False,,8.897,0.0,0.05002779321845474,0.0,1.06064008983717,1.0,0.06064008983716995,0.0,0.0
2024-03-13,9.425,9.245,9.425,9.185,260462.0,-0.200000000000001,-2.1175224986765606,2.5410269984118603,,,0.2599999999999998,0.2485000000000001,9.585,7.625,8.865,1.0,False,False,,8.897,1.0,-0.021175224986765606,-0.021175224986765606,1.0381807973048847,0.9788247750132344,0.03818079730488466,-0.021175224986765606,-0.021175224986765606
2024-03-14,9.235,9.115,9.285,9.055,215171.0,-0.129999999999999,-1.4061654948620772,2.4878312601406214,,,0.23000000000000043,0.2365000000000001,9.585,7.625,8.865,1.0,False,False,,8.897,1.0,-0.014061654948620772,-0.014061654948620772,1.0235822571588993,0.9650608787718369,0.023582257158899278,-0.03493912122816312,-0.03493912122816312
2024-03-15,9.225,9.305,9.375,9.105,302671.0,0.1899999999999995,2.084476138233682,2.962150301700489,,,0.2699999999999996,0.23400000000000007,9.585,7.625,8.865,1.0,False,False,,8.897,1.0,0.02084476138233682,0.02084476138233682,1.0449185850645704,0.9851773425092641,0.04491858506457036,-0.014822657490735858,-0.014822657490735858
2024-03-18,9.285,9.385,9.455,9.255,282731.0,0.08,0.8597528210639416,2.1493820526598526,,,0.1999999999999993,0.23100000000000004,9.585,7.625,8.865,1.0,False,False,,8.923,1.0,0.008597528210639416,0.008597528210639416,1.0539023020774845,0.9936474325039704,0.053902302077484476,-0.0063525674960296374,-0.0063525674960296374
2024-03-19,9.335,9.225,9.365,9.205,190665.0,-0.1600000000000001,-1.7048481619605815,1.704848161960577,,,0.17999999999999972,0.22300000000000003,9.585,7.625,8.865,1.0,False,False,,8.923,1.0,-0.017048481619605815,-0.017048481619605815,1.0359348680516562,0.9767072525145579,0.035934868051656244,-0.023292747485442078,-0.023292747485442078
2024-03-20,9.185,9.145,9.205,9.075,191145.0,-0.08,-0.8672086720867167,1.40921409214093,,,0.15000000000000036,0.20950000000000008,9.585,7.625,8.865,1.0,False,False,,8.923,1.0,-0.008672086720867167,-0.008672086720867167,1.0269511510387421,0.9682371625198518,0.026951151038742127,-0.03176283748014819,-0.03176283748014819
2024-03-21,9.155,8.965,9.175,8.835,356622.0,-0.1799999999999997,-1.9682886823400692,3.717878622197921,,,0.33999999999999986,0.21850000000000006,9.585,7.625,8.865,1.0,False,False,,8.923,1.0,-0.01968288682340069,-0.01968288682340069,1.0067377877596855,0.9491794600317629,0.006737787759685476,-0.0508205399682371,-0.0508205399682371
2024-03-22,8.925,8.865,8.995,8.765,211140.0,-0.0999999999999996,-1.115448968209698,2.565532626882305,,,0.22999999999999865,0.22000000000000003,9.585,7.625,8.835,0.0,False,True,ATR止损,,1.0,-0.01115448968209698,-0.01115448968209698,0.9955081414935429,0.9385918475383802,-0.004491858506457058,-0.06140815246161979,-0.06140815246161979
2024-03-25,8.835,9.495,9.785,8.825,966197.0,0.629999999999999,7.106598984771573,10.829103214890026,,,0.9600000000000009,0.25900000000000006,9.585,7.625,8.765,0.0,False,False,,,0.0,0.07106598984771573,0.0,1.0662549129702414,0.9385918475383802,0.06625491297024144,-0.06140815246161979,-0.06140815246161979
2024-03-26,9.375,9.955,10.005,9.375,792299.0,0.4600000000000008,4.844655081621907,6.635071090047402,,,0.6300000000000008,0.28450000000000014,9.785,7.625,8.765,1.0,True,False,,9.386,0.0,0.04844655081621907,0.0,1.1179112857944975,0.9385918475383802,0.1179112857944975,-0.06140815246161979,-0.06140815246161979
2024-03-27,9.875,9.625,9.915,9.605,427625.0,-0.33,-3.314917127071826,3.114013058764427,,,0.34999999999999964,0.2840000000000001,10.005,7.765,8.765,1.0,False,False,,9.386,1.0,-0.03314917127071826,-0.03314917127071826,1.0808534531162268,0.9074783056310306,0.08085345311622683,-0.0925216943689694,-0.0925216943689694
2024-03-28,9.615,9.595,9.715,9.495,423260.0,-0.0299999999999993,-0.3116883116883073,2.285714285714292,,,0.22000000000000064,0.28100000000000014,10.005,8.465,8.765,1.0,False,False,,9.386,1.0,-0.0031168831168830735,-0.0031168831168830735,1.0774845592363842,0.9046498018212716,0.0774845592363842,-0.09535019817872836,-0.09535019817872836
2024-03-29,9.535,9.905,9.955,9.455,414947.0,0.3099999999999987,3.2308494007295296,5.211047420531526,,,0.5,0.2985000000000001,10.005,8.635,8.765,1.0,False,False,,9.386,1.0,0.032308494007295296,0.032308494007295296,1.1122964626614262,0.9338776745221151,0.11229646266142623,-0.06612232547788488,-0.06612232547788488
2024-04-01,9.905,10.325,10.405,9.805,555022.0,0.4199999999999999,4.240282685512375,6.057546693589093,,,0.5999999999999996,0.3200000000000001,10.005,8.765,8.765,1.0,False,False,,9.684999999999999,1.0,0.042402826855123754,0.042402826855123754,1.1594609769792252,0.973476727858742,0.15946097697922523,-0.026523272141258047,-0.026523272141258047
2024-04-02,10.315,10.255,10.375,10.125,341369.0,-0.0699999999999985,-0.6779661016949046,2.421307506053269,,,0.25,0.3270000000000001,10.405,8.765,8.765,1.0,False,False,,9.684999999999999,1.0,-0.006779661016949046,-0.006779661016949046,1.1516002245929255,0.966876885635971,0.15160022459292555,-0.03312311436402904,-0.03312311436402904
2024-04-03,10.325,10.295,10.595,10.125,444921.0,0.0399999999999991,0.3900536323744541,4.583130180399811,,,0.47000000000000064,0.34300000000000014,10.405,8.765,8.765,1.0,False,False,,9.684999999999999,1.0,0.003900536323744541,0.003900536323744541,1.1560920830993826,0.9706482240489831,0.1560920830993826,-0.0293517759510169,-0.0293517759510169
2024-04-08,10.265,9.885,10.285,9.805,475391.0,-0.4100000000000001,-3.98251578436134,4.662457503642549,,,0.4900000000000002,0.3610000000000001,10.595,8.765,8.765,1.0,False,False,,9.684999999999999,1.0,-0.0398251578436134,-0.0398251578436134,1.1100505334081978,0.9319920053156093,0.11005053340819781,-0.06800799468439067,-0.06800799468439067
