stock,short_window,long_window,sample_start,sample_end,buy_count,sell_count,benchmark_cumulative_return,strategy_cumulative_return,max_drawdown,sharpe_ratio,annualized_return
中国巨石（600176）,5,15,2024-01-02,2026-07-03,24,23,6.961819202695117,2.7808472898843615,-0.28453160935291,1.6466400740168563,0.7433337365731025
中国巨石（600176）,5,20,2024-01-02,2026-07-03,19,18,6.961819202695117,3.7452501133174065,-0.21877187274022714,1.844389742620321,0.9169718996283549
中国巨石（600176）,10,30,2024-01-02,2026-07-03,9,8,6.961819202695117,3.560434995784724,-0.2822700685571182,1.792853775299197,0.8854091275935252
中际旭创（300308）,5,15,2024-01-02,2026-07-03,23,23,13.445666947123154,4.612155064069702,-0.597815260962836,1.5158425124664723,1.0562177912113238
中际旭创（300308）,5,20,2024-01-02,2026-07-03,17,17,13.445666947123154,9.915966768379533,-0.5227490113483834,1.9830153472102672,1.7152951309557367
中际旭创（300308）,10,30,2024-01-02,2026-07-03,9,8,13.445666947123154,6.2790320575532705,-0.3544805202912885,1.8044826039075836,1.2922900937277033
